Şeref Can Gürel in tahminleri. Sıralama: ID, yaş, cinsiyet, zaman farkı(gün), tahmin (1:doğru 0:yanlış)
3,45,E,-291,-2
3,45,E,74,-2
3,45,E,-616,-2
3,45,E,-365,-3
3,45,E,-365,-3
3,45,E,-365,-3
9,15,E,-58,-2
9,15,E,-271,-2
9,15,E,213,-3
11,25,K,365,-2
14,19,E,-89,-2
19,18,E,-31,-2
22,23,E,660,-2
22,23,E,295,-3
22,23,E,295,-3
22,23,E,-365,-2
22,23,E,96,-3
22,23,E,-269,-2
25,39,K,395,-2
25,39,K,-101,-3
25,39,K,294,-2
32,42,E,462,-2
99,44,E,-3652,-2
