Ahmet Issın in tahminleri. Sıralama: ID, yaş, cinsiyet, zaman farkı(gün), tahmin (1:doğru 0:yanlış)
3,45,E,-291,-2
3,45,E,74,-2
3,45,E,-616,-2
3,45,E,-365,-3
3,45,E,-365,-3
3,45,E,-365,-3
3,45,E,-365,-3
3,45,E,-365,-3
3,45,E,-365,-3
11,25,K,365,0
14,19,E,-89,1
19,18,E,-31,1
22,23,E,660,0
22,23,E,295,0
22,23,E,564,0
22,23,E,-365,1
22,23,E,96,0
22,23,E,-269,1
25,39,K,395,0
25,39,K,-101,1
25,39,K,294,0
32,42,E,462,0
99,44,E,-3652,1
